"","t_F","T_F","t_T","T_T","t_S","T_S","t_T2","T_T2","T_H","N0","logN"
"1984.21",1.15326426783577,3.75845713401213,2.27670947565924,6.91364643698912,1.17434982744594,3.58496363435814,0.0368577945163582,7.31656188238765,4.86805401947723,0.368378685278445,5.6323921963307
"1985.21",1.32435000711121,4.3877553762868,4.93371204088975,6.81882759251631,1.41226155940605,3.97920815356686,0.0140550741310028,9.03219973541752,8.48152080730995,0.206962695550964,2.2360082023118
"1986.21",1.373825392453,4.19839913561009,6.30333341166849,6.73824195595386,1.25820559334085,3.60071797151764,0.0442746682244285,7.89459582517714,3.72827689516483,0.13821548095551,-0.730328279765336
"1987.21",1.15652631875128,4.18953780876473,2.38262877920847,2.2962023516536,3.47805622518701,1.13107990951125,0.0721556250593606,8.57284053157457,3.59076132051149,0.973020759842057,0.948551609110658
"1988.21",1.83045075484551,3.56928792176768,7.04004221936504,3.09892122376034,6.91475053656758,-0.314249819774185,0.052044141377253,9.13969724966446,2.68382854351778,0.136835841687951,-0.8635857573269
"1989.21",1.55613577412441,4.05972448387183,4.41242246932732,5.96498512667138,0.920150918659979,1.19892895252614,0.024563827087401,9.04475570253563,3.02891496198809,0.0147167563597473,-0.814196266441947
"1990.21",1.49443970061839,3.89285279531032,4.64380673431612,6.19354551308975,4.18029226125597,2.0691229646546,0.0303030955472972,6.84349940870266,4.57469951670483,0.124639375370928,2.57087686731238
"1991.21",1.37352541601285,4.22547126491554,3.2475740665083,4.28744337027066,2.89941958125441,4.77229654742343,0.032971119108539,7.26768246935973,2.38774154457608,2.94664828743271,0.537434957428566
"1992.21",1.98343176255003,4.19027627562173,5.46705079646017,7.30398420222644,6.54249422887726,0.155886432768015,0.0598325015604064,9.13953275570882,5.43743232439017,0.0152104331934569,2.07452055848228
"1993.21",1.64896309096366,4.01918727089651,5.85716767640812,5.075154108766,0.771108965560112,1.55068856772949,0.0343188224382279,8.62132884454564,3.42024892534251,0.261738035915243,6.62988162551451
"1994.21",1.83566199149936,4.12048039608635,3.10970247627434,2.9739820645681,0.381508549386584,4.26189074795111,0.0133844511682949,8.22389111961883,5.45109776546995,0.146804901298897,1.67320564890851
