,time,percent
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0.06
8,7,0.16
9,8,0.54
10,9,1.26
11,10,2.31
12,11,3.47
13,12,4.62
14,13,6.42
15,14,9.47
16,15,13.99
17,16,19.8
18,17,26.11
19,18,33.35
20,19,40.48
21,20,46.26
22,21,51.04
23,22,55.3
24,23,58.41
25,24,61.29
26,25,63.91
