,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
11,0.367017104,0.34878121,0.385252998,39.4511719,9998,1.69613003012749e-316,N0,0.367017104
9,0.271244308,0.252375277,0.290113339,28.17810021,9998,3.59883442389124e-168,T_H,0.271244308
4,0.164252793,0.144915076,0.183590511,16.64976924,9998,2.03187413748421e-61,T_T,0.164252793
10,0.085934866,0.066403412,0.105466319,8.624531398,9998,7.41264335580287e-18,P_ppc,0.085934866
6,0.077375751,0.05783055,0.096920951,7.760065918,9998,9.3185634077407e-15,T_S,0.077375751
5,-0.060478546,-0.080046634,-0.040910458,-6.058339582,9998,1.42491825133212e-09,t_S,0.060478546
3,0.032612257,0.013018711,0.052205802,3.262634992,9998,0.001107519,t_T,0.032612257
8,-0.00954609,-0.029149171,0.01005699,-0.954557068,9998,0.339824815,T_T2,0.00954609
2,0.009389827,-0.010213282,0.028992936,0.938930159,9998,0.347789285,T_F,0.009389827
7,0.003011885,-0.016592,0.022615769,0.301159709,9998,0.763298975,t_T2,0.003011885
1,0.002028945,-0.017574988,0.021632878,0.202874582,9998,0.83923719,t_F,0.002028945
