"","plantID","PPC_percent","spore_percent"
"1",4,0.909090909090909,0.0909090909090909
"2",6,1,0
"3",8,0.75,0.25
"4",10,0.3125,0.625
"5",11,0.928571428571429,0.0714285714285714
"6",12,0.5,0.15
"7",13,0.8,0
"8",14,0.5,0.125
"9",17,0.366666666666667,0.366666666666667
"10",20,0.25,0.45
"11",25,1,0
"12",26,0.75,0.25
"13",30,0.125,0.75
"14",35,0.142857142857143,0.642857142857143
"15",39,0.538461538461538,0.307692307692308
"16",40,0.909090909090909,0.0909090909090909
"17",42,0.235294117647059,0.352941176470588
"18",50,0.181818181818182,0
"19",53,0.428571428571429,0.142857142857143
"20",55,0.25,0.333333333333333
"21",58,0.5,0.333333333333333
"22",59,1,0
"23",63,0.75,0.125
"24",64,0.833333333333333,0.166666666666667
"25",66,0.666666666666667,0
"26",67,0.444444444444444,0.333333333333333
"27",68,1,0
"28",69,1,0
