plantID,tier,projectNumber,sampleUniqueID,sampleID,product,flavorName,fatLevel,size,container,dateProcessed,dateCode,sampleDay,test,greaterThanLessThan,dataValue,countability
30,2,507,6824,32-2,Extras,White,2%,Qt,Plastic,2023-01-09,2023-01-28,D7,CVTA,<,20,E
30,2,507,6824,32-2,Extras,White,2%,Qt,Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,610,NULL
30,2,507,6824,32-2,Extras,White,2%,Qt,Plastic,2023-01-09,2023-01-28,D14,CVTA,<,20,E
30,2,507,6824,32-2,Extras,White,2%,Qt,Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,3100000,NULL
30,2,507,6824,32-2,Extras,White,2%,Qt,Plastic,2023-01-09,2023-01-28,D21,CVTA,<,20,E
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,80,E
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,49000,NULL
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,45000,NULL
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,41000000,NULL
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,43000000,NULL
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,5100000000,NULL
30,2,507,6821,33,Core,White,Skim,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,6900000000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,60,E
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,45000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,66000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,70000000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,72000000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,3500000000,NULL
30,2,507,6822,34,Core,White,1%,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,3600000000,NULL
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,DI,SPC,NULL,10,E
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,DI,CVTA,<,20,E
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,D7,SPC,NULL,970,NULL
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,D7,CVTA,NULL,1100,NULL
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,D14,SPC,NULL,16000000,NULL
63,2,507,6825,41,Core,White,Whole,"½ Gal",Plastic,2023-01-17,2023-02-07,D14,CVTA,NULL,16000000,NULL
63,2,507,6826,42,Core,White,2%,"½ Gal",Plastic,2023-01-16,2023-02-06,DI,SPC,<,10,E
