"","t_F","T_F","t_T","T_T","t_S","T_S","t_T2","T_T2","T_H","N0","logN"
"1.21",1.47674297774211,4.24021398928016,5.89311026458951,3.78641606478813,2.81452448690224,2.29718021005646,0.024361347652076,8.73450947539467,3.84724405297098,4.83616009647016,7.10056406351978
"2.21",1.15652631875128,4.18953780876473,2.38262877920847,2.2962023516536,3.47805622518701,1.13107990951125,0.0721556250593606,8.57284053157457,3.59076132051149,5.1097888081486,6.96800085662361
"3.21",1.3314179754816,3.61960678361356,4.58978046513482,6.98772073088453,2.92931639273072,1.18975966898054,0.0315038085653133,9.4965116594269,8.51989215698899,0.150631060079998,7.78518187917145
"4.21",1.37352541601285,4.22547126491554,3.2475740665083,4.28744337027066,2.89941958125441,4.77229654742343,0.032971119108539,7.26768246935973,2.38774154457608,34.1336251874007,8.11750358385608
"5.21",1.98343176255003,4.19027627562173,5.46705079646017,7.30398420222644,6.54249422887726,0.155886432768015,0.0598325015604064,9.13953275570882,5.43743232439017,329.278058095209,8.03106379606827
"6.21",1.64896309096366,4.01918727089651,5.85716767640812,5.075154108766,0.771108965560112,1.55068856772949,0.0343188224382279,8.62132884454564,3.42024892534251,0.574356657675379,6.62412907248108
"7.21",1.83566199149936,4.12048039608635,3.10970247627434,2.9739820645681,0.381508549386584,4.26189074795111,0.0133844511682949,8.22389111961883,5.45109776546995,0.825141345209376,7.78319324844563
"8.21",1.40827582520433,3.9224003625568,4.83909091161688,5.79731847235376,0.495631229236572,0.349371393576502,0.0168844987762804,7.12169286306517,10.5896884475174,1.39698850196645,8.58787815395071
"9.21",1.51305489009246,4.40938701946288,2.45323904708961,4.15374638190726,3.11645606822983,2.64715847263281,0.0247302079705135,9.15948133543125,6.0907261146912,1.10517377281491,7.71651193130617
"10.21",1.73146068304777,3.66013661189936,5.95838808457734,7.09055330315087,7.3893278197614,1.58027377870616,0.0144031834281691,8.40530374573301,4.4117682898988,0.0268453524552367,5.67434587490217
"11.21",1.75914340745658,3.86971446080133,4.38085444010369,4.83015958006032,2.62886828222955,3.38140969222046,0.0367378901238654,8.63019361299526,5.91548868535114,533.463292063342,7.07520683269967
"12.21",1.76679611997679,3.6216850746423,7.68459105837795,2.85650606213272,7.37983935255872,4.54442410037365,0.0656869809774038,6.88455648570224,6.28674001811489,6.22890051777388,7.62521249397881
"13.21",1.83474864833988,3.69682799302973,7.73322099343157,4.91939504495972,2.575584695427,-1.29377129130802,0.069251642390654,7.19354159089441,5.05211820967885,0.0630103077676877,6.05163785041915
"14.21",1.23044335492887,4.47283444041386,5.30600335151667,6.96714611598214,6.0437962097085,0.960577744380306,0.0509931824038025,9.61746803773674,2.91108207769504,11.8176863245214,7.77907052570113
"15.21",1.09285725024529,3.94633016549051,6.09338637986418,3.64336865640705,0.71697970705628,3.0547340078532,0.0618206874723716,7.74111288329676,1.43605684952437,6.71718914968768,7.67715803748057
"16.21",1.79501600610092,4.1350961914286,6.49085911484265,2.40416159252397,4.34382346130075,4.40486804951936,0.044901161343354,9.1111501370312,4.2997880901218,0.0913510053977992,7.63622270603054
"17.21",1.79839319270104,3.53764200326987,7.16399156791159,7.05172435382409,0.252907986646865,2.35426444841386,0.0483277460374333,7.71504666964472,2.65355203706905,0.622330626887771,7.58128893127377
