,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
3,0.032612257,0.013018711,0.052205802,3.262634992,9998,0.001107519,t_T,0.032612257
4,0.164252793,0.144915076,0.183590511,16.64976924,9998,2.03187413748421e-61,T_T,0.164252793
5,-0.060478546,-0.080046634,-0.040910458,-6.058339582,9998,1.42491825133212e-09,t_S,0.060478546
6,0.077375751,0.05783055,0.096920951,7.760065918,9998,9.3185634077407e-15,T_S,0.077375751
9,0.271244308,0.252375277,0.290113339,28.17810021,9998,3.59883442389124e-168,T_H,0.271244308
10,0.085934866,0.066403412,0.105466319,8.624531398,9998,7.41264335580287e-18,P_ppc,0.085934866
11,0.367017104,0.34878121,0.385252998,39.4511719,9998,1.69613003012749e-316,N0,0.367017104
