,Plant,VSLNumber,SampleID,Day_Initial_Actual,Spoiled20000_yn,AnyGN_yn,exceed20000byD10_yn,exceed100000postD10_yn,HigherSPC_yn,GN_AtLeast2x,CVTAexceed20000_yn,CVTAexceed1mill_yn,spoilagetype,spoilagetype_actual,,SPC_DI,SPC_D7,SPC_D10,SPC_D14,SPC_D17,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D10,CVTA_D14,CVTA_D17,CVTA_D21,LOD_SPC_DI,LOD_SPC_D7,LOD_SPC_D10,LOD_SPC_D14,LOD_SPC_D17,LOD_SPC_D21,LOD_CVTA_DI,LOD_CVTA_D7,LOD_CVTA_D10,LOD_CVTA_D14,LOD_CVTA_D17,LOD_CVTA_D21,Plant_VSLNumber_SampleID
266,36-5385,466,65,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,4900,69000,69000,2400000,NotTested,NotTested,5,4500,11000,2600000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-5385_466_65
264,36-5385,466,62-1,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,350,4.00E+07,5.30E+07,3.30E+08,NotTested,NotTested,20,4.00E+07,5.80E+07,6200000,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-5385_466_62-1
289,36-8832,466,51,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,2200,4.00E+07,5.00E+05,4200000,1300000,5,3600,4.00E+07,50000,50000,50000,OK,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,belowLOD,belowLOD,belowLOD,36-8832_466_51
290,36-8832,466,52,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,30,4.00E+05,2.90E+07,4.60E+08,1.20E+08,1.30E+08,5,4.00E+05,3.40E+07,7.60E+08,1.40E+08,8.20E+07,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-8832_466_52
292,36-8832,466,53,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,30,30,20,41000,2300000,2900000,5,5,5,5,20,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,belowLOD,36-8832_466_53
295,36-8832,466,55,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,20,20,160,6800,1.20E+07,3.40E+07,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_466_55
291,36-8832,466,52-1,2,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,20,20,470,330000,5500000,1.20E+07,5,5,20,5,500,50000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,belowLOD,belowLOD,36-8832_466_52-1
293,36-8832,466,53-1,2,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,20,10,80,11000,1.00E+06,7400000,5,5,5,5,5,50000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_466_53-1
294,36-8832,466,53-2,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,20,30,180,58000,2.50E+08,5600000,5,5,5,5,500,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_466_53-2
296,36-8832,466,55-1,2,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,40,30,210,22000,1.50E+07,7.20E+07,5,5,5,5,500,50000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_466_55-1
78,36-1131,467,31,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,20,550,850000,52000,1200000,5,5,440,3200000,20000,150000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1131_467_31
99,36-1288,467,51,3,yes,yes,no,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,70,60,5,50,23000,64000,5,5,5,5,4.00E+07,5.00E+08,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,aboveLOD,OK,36-1288_467_51
101,36-1288,467,52,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,30,2500,470000,7.20E+07,1.60E+08,50000,5,2400,530000,8.60E+07,1.30E+08,50000,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,36-1288_467_52
102,36-1288,467,53,1,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,20,40,10,20,4.00E+07,3.00E+08,5,5,5,5,4.00E+07,2.80E+08,OK,OK,OK,OK,aboveLOD,OK,belowLOD,belowLOD,belowLOD,belowLOD,aboveLOD,OK,36-1288_467_53
103,36-1288,467,55,4,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,440,5600,1.60E+07,6.40E+08,6.40E+08,5,320,5900,1.50E+07,1.60E+08,6.20E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1288_467_55
100,36-1288,467,51-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,140000,1.30E+07,2.00E+07,1.70E+09,2.60E+09,20,28000,4.00E+07,1.90E+07,2.30E+09,2.20E+09,OK,OK,OK,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,36-1288_467_51-1
104,36-1288,467,55-1,4,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,5,40,500,18000,660000,2.40E+08,5,20,500,5,5,36000,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,belowLOD,OK,36-1288_467_55-1
128,36-1661,467,71,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,960,2800,8100000,1.50E+08,NotTested,NotTested,5,27000,4000,1.40E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1661_467_71
129,36-1661,467,72,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1500,14000,2700000,39000,NotTested,NotTested,5,68000,6600000,6.20E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1661_467_72
132,36-1661,467,73,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,320,18000,5500000,240000,NotTested,NotTested,5,14000,4.00E+06,500,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,belowLOD,OK,OK,36-1661_467_73
135,36-1661,467,74,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,700,11000,5200000,2.30E+08,NotTested,NotTested,5,11000,5500000,2.80E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1661_467_74
136,36-1661,467,75,2,yes,no,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,5,5,400,48000,NotTested,NotTested,5,5,20,5,NotTested,NotTested,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,OK,36-1661_467_75
130,36-1661,467,72-1,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,1500,1600,1900,160000,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1661_467_72-1
131,36-1661,467,72-2,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1700,2800,350000,7.80E+07,NotTested,NotTested,5,160,7600,1.30E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-1661_467_72-2
133,36-1661,467,73-1,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,270,4.00E+05,1.40E+07,3.00E+08,NotTested,NotTested,40,4.00E+05,3300000,4.80E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-1661_467_73-1
134,36-1661,467,73-2,2,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,750,4.00E+05,3.50E+07,2.00E+08,NotTested,NotTested,5,4.00E+05,5.50E+07,5.00E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1661_467_73-2
160,36-2107,467,21,6,yes,yes,no,yes,no,yes,yes,no,ppcSpoil,Review,0,640,710,2600,410000,2.70E+07,1.70E+09,5,5,1500,30000,5,50000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,belowLOD,36-2107_467_21
162,36-2107,467,22,7,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1200,NotTested,1100,3400,24000,1.10E+07,5,NotTested,20,340,19000,3400000,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-2107_467_22
163,36-2107,467,23,8,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,430,NotTested,410,4.00E+05,660000,4.10E+07,5,NotTested,5700,4.00E+05,4.00E+07,1.40E+07,OK,OK,OK,aboveLOD,OK,OK,belowLOD,OK,OK,aboveLOD,aboveLOD,OK,36-2107_467_23
165,36-2107,467,24,8,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,630,NotTested,580,4.00E+05,4.00E+07,7.40E+08,5,NotTested,4.00E+05,4.00E+05,4.00E+07,1.10E+09,OK,OK,OK,aboveLOD,aboveLOD,OK,belowLOD,OK,aboveLOD,aboveLOD,aboveLOD,OK,36-2107_467_24
161,36-2107,467,21-1,8,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,1300,NotTested,1600,3.40E+07,4.00E+07,8.00E+07,155,NotTested,98000,4.00E+05,4.00E+07,7.30E+07,OK,OK,OK,OK,aboveLOD,OK,belowLOD,OK,OK,aboveLOD,aboveLOD,OK,36-2107_467_21-1
164,36-2107,467,23-1,8,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,690,NotTested,740,1.60E+07,1.40E+07,6.60E+07,5,NotTested,2000,4.00E+05,1.30E+07,3.60E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,aboveLOD,OK,OK,36-2107_467_23-1
242,36-4739,467,11,6,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,5,NotTested,4.00E+05,2.60E+07,2.30E+08,2.50E+08,5,NotTested,4.00E+05,2.90E+07,2.60E+08,5.60E+08,belowLOD,OK,aboveLOD,OK,OK,OK,belowLOD,OK,aboveLOD,OK,OK,OK,36-4739_467_11
243,36-4739,467,12,3,yes,yes,yes,no,yes,no,yes,no,ppcSpoil,ppcSpoil,1,180,460,820000,1000,3000,9000,5,320,9.00E+05,500,5,660,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,belowLOD,belowLOD,OK,36-4739_467_12
247,36-4739,467,13,3,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,50,70,10000,4.00E+07,1.40E+08,2.60E+08,5,5,5,460,500,50000,OK,OK,OK,aboveLOD,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,belowLOD,36-4739_467_13
251,36-4739,467,14,3,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,40,100,6600,340000,1.80E+08,2.90E+08,100,5,5,280,280,50000,OK,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,36-4739_467_14
252,36-4739,467,15,4,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,100,50,9300,4.40E+07,2.50E+07,2.50E+07,5,5,5,50,500,50000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-4739_467_15
244,36-4739,467,1-Dec,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,180,22000,6400000,9.90E+07,1.50E+09,3.30E+09,5,22000,5400000,8.40E+07,1.60E+09,2.90E+09,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-4739_467_12-1
245,36-4739,467,2-Dec,4,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,70,60,1100,190000,9700000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-4739_467_12-2
246,36-4739,467,3-Dec,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,240,30,330,2900,8400,180000,20,5,5,5,5,20,OK,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-4739_467_12-3
248,36-4739,467,13-1,3,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,80,10,40,80,40,30,5,5,5,5,5,2000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-4739_467_13-1
249,36-4739,467,13-2,4,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,60,20,30,10,5,5,5,5,5,5,5,5,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-4739_467_13-2
250,36-4739,467,13-3,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,150,40,210,5800,1100000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-4739_467_13-3
285,36-8446,467,61,7,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,180,NotTested,1600,390000,5.90E+07,1.10E+08,5,NotTested,1200,120000,8400000,8.20E+07,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-8446_467_61
286,36-8446,467,61-1,6,yes,yes,no,yes,yes,no,yes,no,sporeSpoil,ppcSpoil,0,40,NotTested,50,1100,42000,1200000,5,NotTested,5,5,20,370000,OK,OK,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,OK,36-8446_467_61-1
6,23-03,468,21,3,noSpoil,yes,no,no,yes,yes,no,no,noSpoil,noSpoil,1,220,400,320,520,1400,20000,5,5,5,5,20000,2500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,23-03_468_21
8,23-03,468,22,3,yes,yes,no,no,no,yes,no,no,ppcSpoil,Review,0,190,180,2400,1.00E+05,25,65000,5,5,2900,3700,500,5,OK,OK,OK,OK,belowLOD,OK,belowLOD,belowLOD,OK,OK,belowLOD,belowLOD,23-03_468_22
10,23-03,468,23,3,yes,yes,no,yes,yes,no,yes,yes,ppcSpoil,ppcSpoil,1,490,650,470,530,740,4.00E+06,5,20,20,120,5,2800000,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,belowLOD,OK,23-03_468_23
12,23-03,468,24,3,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,90,150,160,330,850,250000,5,5,5,1800,5,20,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,OK,23-03_468_24
7,23-03,468,21-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,390,43000,1.20E+07,6.30E+08,2.70E+08,5.60E+08,5,47000,1.50E+07,9.00E+08,4.20E+08,6.20E+08,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,23-03_468_21-1
9,23-03,468,22-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,190,4.00E+05,8.00E+07,25000,5.60E+08,8.20E+08,5,4.00E+05,9.70E+07,50000,7.30E+08,8.40E+08,OK,aboveLOD,OK,belowLOD,OK,OK,belowLOD,aboveLOD,OK,belowLOD,OK,OK,23-03_468_22-1
11,23-03,468,23-1,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,570,630,7900,4.00E+07,4.10E+08,5.70E+08,5,80,7700,4.00E+07,6.50E+08,8.60E+08,OK,OK,OK,aboveLOD,OK,OK,belowLOD,OK,OK,aboveLOD,OK,OK,23-03_468_23-1
13,23-03,468,24-1,3,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,210,4.00E+05,3.20E+07,6.70E+08,1.40E+08,3.60E+08,5,4.00E+05,4.10E+07,8.20E+08,1.80E+08,2.20E+08,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,23-03_468_24-1
33,33-08,468,11,1,yes,yes,no,no,yes,no,no,no,sporeSpoil,sporeSpoil,1,10,30,330,90,500,1.00E+05,5,5,80,5,140,16000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,OK,33-08_468_11
34,33-08,468,12,1,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,30,20,610,65000,9200000,5,1900,1.70E+07,4.40E+08,4.80E+08,4.00E+09,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,aboveLOD,33-08_468_12
37,33-08,468,13,1,noSpoil,yes,no,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,30,10,2.5,2.5,5400,5,1400,1900000,2.50E+07,1200000,4.00E+07,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,OK,OK,OK,OK,aboveLOD,33-08_468_13
40,33-08,468,14,1,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,40,120,150,1900,290000,5,5,5,5,5,160,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,33-08_468_14
41,33-08,468,15,1,yes,yes,no,yes,no,no,yes,no,sporeSpoil,sporeSpoil,1,2.5,10,220,120000,7900000,1.80E+08,5,5,5,5,5,50000,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_468_15
35,33-08,468,1-Dec,1,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2.5,30,30,20,200,12000,5,5,5,5,5,5,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_468_12-1
36,33-08,468,2-Dec,1,yes,yes,no,no,yes,no,yes,no,sporeSpoil,ppcSpoil,0,10,80,20,50,1100,83000,5,5,5,5,520,21000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,33-08_468_12-2
38,33-08,468,13-1,1,noSpoil,no,no,no,yes,no,no,no,noSpoil,noSpoil,1,30,20,20,30,10,40,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_468_13-1
39,33-08,468,13-2,1,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,20,2.5,10,90,1000,190000,5,5,5,5,5,5,OK,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,33-08_468_13-2
69,36-1103,468,51,2,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,40,70,90,10,40,60,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1103_468_51
70,36-1103,468,55,2,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2.5,2.5,10,100,1100,11000,5,5,5,5,20,200,belowLOD,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-1103_468_55
71,36-1103,468,56,17,noSpoil,no,no,no,yes,no,no,no,noSpoil,noSpoil,1,30,NotTested,NotTested,NotTested,NotTested,10,5,NotTested,NotTested,NotTested,NotTested,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,belowLOD,36-1103_468_56
208,36-3108,468,41,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,3300,19000,2.30E+07,1.20E+09,NotTested,NotTested,5,18000,60000,1.30E+09,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-3108_468_41
209,36-3108,468,42,1,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,4200,4600,5100,10000,NotTested,NotTested,5,20,1700,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,belowLOD,OK,OK,36-3108_468_42
210,36-3108,468,43,1,noSpoil,yes,no,no,yes,no,no,no,noSpoil,noSpoil,1,2600,1900,3200,19000,NotTested,NotTested,5,5,120,3700,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-3108_468_43
211,36-3108,468,45,1,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,10,2.5,310,130000,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,belowLOD,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-3108_468_45
298,36-8832,468,32,1,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2.5,10,2.5,40,2300,9200,5,5,5,5,5,5,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_468_32
300,36-8832,468,33,1,yes,no,no,no,no,no,no,no,sporeSpoil,sporeSpoil,1,2.5,10,10,40,90,67000,5,5,5,5,5,5,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_468_33
301,36-8832,468,35,1,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,40,70,1400,210000,570000,1.60E+08,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_468_35
297,36-8832,468,31-1,1,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,20,20,2.5,90,280,4500,5,5,5,5,5,5,OK,OK,belowLOD,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_468_31-1
299,36-8832,468,32-1,1,yes,yes,no,no,yes,no,no,no,sporeSpoil,ppcSpoil,0,5,10,20,20,230,33000,5,5,5,5,5,8400,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-8832_468_32-1
302,36-8832,468,35-1,1,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,10,40,310,360000,2400000,2.20E+08,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-8832_468_35-1
49,36-1007,469,11,4,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,350,1400,2200000,1.40E+08,4.70E+08,5,5,1200,2800000,1.40E+08,4.10E+08,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1007_469_11
51,36-1007,469,12,4,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,80,1200,1100000,250,2.30E+08,5,40,700,1400000,2300000,1.50E+08,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,OK,OK,OK,OK,36-1007_469_12
52,36-1007,469,13,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,10,7000,1.00E+07,1.10E+08,4.20E+08,8.10E+08,20,7100,110000,1.40E+08,4.20E+08,4.80E+08,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-1007_469_13
53,36-1007,469,15,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,90,1400,6600000,2.60E+08,25000,4.20E+08,5,1500,7300000,2.30E+08,50000,3.80E+08,OK,OK,OK,OK,belowLOD,OK,belowLOD,OK,OK,OK,belowLOD,OK,36-1007_469_15
50,36-1007,469,1-Nov,4,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,750,160000,7.60E+07,1.50E+08,25000,6.20E+08,880,230000,5.10E+07,1.50E+08,50000,4.40E+08,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,belowLOD,OK,36-1007_469_11-1
79,36-1131,469,41,4,yes,yes,no,no,yes,yes,yes,no,ppcSpoil,ppcSpoil,1,10,20,50,86000,26000,26000,5,5,20,64000,26000,480,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1131_469_41
80,36-1131,469,41-1,11,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,10,NotTested,NotTested,20,2500,640000,5,NotTested,NotTested,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,belowLOD,belowLOD,belowLOD,36-1131_469_41-1
105,36-1288,469,31,3,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2.5,60,20,20,1800,20,5,5,5,5,120,5,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,belowLOD,36-1288_469_31
107,36-1288,469,32,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,40,4.00E+05,5.50E+07,1.30E+08,1.00E+06,2.60E+08,5,4.00E+05,5.00E+07,1.30E+08,5.00E+06,2.20E+08,OK,aboveLOD,OK,OK,OK,OK,belowLOD,aboveLOD,OK,OK,OK,OK,36-1288_469_32
108,36-1288,469,33,1,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,30,70,10,20,10,8700,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1288_469_33
109,36-1288,469,35,2,yes,yes,yes,no,no,no,no,no,ppcSpoil,sporeSpoil,0,10,540,45000,1500000,6200000,7.30E+07,5,5,40,8300,5,180,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,belowLOD,OK,36-1288_469_35
106,36-1288,469,31-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,50,30,20,40,970,4.00E+05,5,5,5,20,5,40,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,OK,belowLOD,OK,36-1288_469_31-1
110,36-1288,469,35-1,2,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,60,270,15000,3600000,1.00E+07,5.40E+07,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1288_469_35-1
182,36-2151,469,21,3,noSpoil,no,no,no,yes,no,no,no,noSpoil,noSpoil,1,220,140,180,4300,230,1800,5,5,5,5,5,740,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-2151_469_21
