"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.01,0,0,0
"3",0.63,0,0,4
"4",4.79,5,1,10
"5",10.75,11,5,18
"6",16.76,17,9,25
"7",21.98,22,14,31.525
"8",26.62,26.5,17.475,35
"9",30.81,31,21.475,39.525
"10",34.72,34,26.475,44.525
"11",38.86,38,30,49.525
"12",43.5,43,34,55
"13",47.79,48,38,59
"14",52.31,51.5,41,62.525
"15",56.94,57,46,67.525
"16",60.85,61,49.475,72
"17",64.46,64,52.475,76
"18",67.65,68,56.475,79
"19",70.46,71,59,81.525
"20",72.85,73,62,83.525
"21",75.19,76,63.475,86
"22",77.14,77,66,88
"23",78.69,78.5,69,89.525
"24",80.15,79,71,91.05
"25",81.34,81,72,92
"26",82.34,82,73,92
"27",83.26,82,73.475,93
"28",83.97,84,74,94
"29",84.55,84,75,94.525
"30",85.23,84,76,95
"31",85.78,85,76.475,96
"32",86.26,86,77.475,96
"33",86.73,86,78,97
"34",87.24,87,78.475,97
"35",87.6,87,79.475,97
