"","t_F","T_F","t_T","T_T","t_S","T_S","t_T2","T_T2","T_H","N0","logN"
"4968.21",1.15326426783577,3.75845713401213,2.27670947565924,6.91364643698912,1.17434982744594,3.58496363435814,0.0368577945163582,7.31656188238765,4.86805401947723,3.96889684285792,3.03129577257424
"4969.21",1.32435000711121,4.3877553762868,4.93371204088975,6.81882759251631,1.41226155940605,3.97920815356686,0.0140550741310028,9.03219973541752,8.48152080730995,1.08773656277868,5.8619010423234
"4970.21",1.373825392453,4.19839913561009,6.30333341166849,6.73824195595386,1.25820559334085,3.60071797151764,0.0442746682244285,7.89459582517714,3.72827689516483,0.0281486916021688,-0.0931414633831051
"4971.21",1.83045075484551,3.56928792176768,7.04004221936504,3.09892122376034,6.91475053656758,-0.314249819774185,0.052044141377253,9.13969724966446,2.68382854351778,0.00572826802057239,-1.1348111066474
"4972.21",1.55613577412441,4.05972448387183,4.41242246932732,5.96498512667138,0.920150918659979,1.19892895252614,0.024563827087401,9.04475570253563,3.02891496198809,0.382107003899372,1.66920996642508
"4973.21",1.49443970061839,3.89285279531032,4.64380673431612,6.19354551308975,4.18029226125597,2.0691229646546,0.0303030955472972,6.84349940870266,4.57469951670483,3.2982947399345,1.9591284163967
"4974.21",1.19645159854554,3.71432125288993,6.17558828105636,6.70433027836107,5.24324096343913,-0.382899474793327,0.0553041263549668,8.15281155544421,4.68734010455547,0.278877886992271,0.705313867560907
"4975.21",1.45878482074477,3.68069702433422,4.65888803593367,5.95996067261737,3.51696670044044,0.417178122684772,0.046913906225654,8.98864386815746,3.41995444953159,0.0870801918947977,0.40334051087648
"4976.21",1.34414244932123,3.63450097595342,7.68129155440715,5.58594334777443,1.3369380119315,3.63675223563635,0.0552966594814175,8.93048148220921,5.28222164756999,0.73419078905745,3.4255060555932
"4977.21",1.84285857854411,3.74753752490506,5.61601971873686,4.67197432660753,2.87635817937831,3.94637532549597,0.0405347618896518,8.29106534444613,1.88318517383065,0.00669914546763919,-1.34815908363244
"4978.21",1.67328611575067,4.04433666495606,6.87435588787861,8.71152977490332,3.33162252479799,4.10266329263422,0.0277694167277457,9.25252552038958,4.29616534170003,0.0355224051834067,5.77175926735081
"4979.21",1.43822905025445,3.52123316377401,5.973939161207,3.86850637526333,2.43264300841999,2.06268579431642,0.0478558488192458,8.51615760425397,3.62492136420659,0.212347581047731,-0.672804369579326
"4980.21",1.4478676347062,3.82037908583879,5.78660085637427,8.31352964165592,2.3397935416402,4.07526063882411,0.020827644753059,7.53048143271371,4.62114232693375,0.00541021517008614,5.9050015712103
"4981.21",1.72840115474537,4.03729013586417,5.5461086623585,5.01102126088902,3.62976620101853,0.913876030391515,0.0327730794335134,7.70908986645215,4.32080487315898,0.0395981418709092,1.87361852752931
"4982.21",1.21337388711981,3.52212066669017,5.34847555998485,7.05305326526727,3.50986510679358,0.494095390144461,0.0538758125934515,8.1537138666271,5.08011815012243,0.0237340016448594,3.22518021655655
"4983.21",1.70767414500006,4.37955796113238,4.42471769930531,5.31663523891577,4.86570267741272,2.0000548283398,0.0705563228894565,7.36482440466796,7.4409553270815,0.0406325892381359,5.61131132197129
"4984.21",1.49958252464421,3.8838066724129,3.11250654663427,4.05375046256609,2.56020161017272,1.70127367451805,0.0283850681276027,8.6857494089044,5.41316709226884,2.66285828517337,3.61500526176232
"4985.21",1.28853023354895,4.10044093383476,4.37487173705955,3.707109320096,5.44439724057012,-0.32505290460321,0.0704281895638084,8.59503322194329,3.13158881346176,0.0682882455897702,0.0318300958808669
"4986.21",1.54455919656903,4.43210297171026,2.79348162720658,3.56756868921556,5.39846840475129,3.25890451579489,0.0334792328152907,9.10325586728391,6.10282964407169,0.00443525141737206,2.68883930329403
"4987.21",1.28855536691844,3.61879661702551,2.82368022435847,4.84134593463877,5.79265006946421,1.36384030124606,0.0750458996866503,6.74271785005891,3.796573701698,0.0173628213748134,-1.29706862958445
"4988.21",1.9310442332644,3.95420160656795,2.6397860510754,5.55896382806979,3.57442027891406,4.43254664464494,0.0443944170265068,8.45067734308803,6.35739806279197,0.565635147643217,3.35414840768304
"4989.21",1.3284556355793,3.9728400609456,3.34979268379243,4.95959504013615,0.727658885199897,1.25661500707733,0.0904541291363498,7.6621731223095,7.61695652150745,0.109683382907308,2.03207232806284
"4990.21",1.35233629029244,4.32004099083133,7.73531072435645,4.92924169868774,1.02129237200846,0.880869399431364,0.074440667940752,9.84024533391525,5.10509652591596,0.194595476624667,2.91743473932996
"4991.21",1.9563134489581,4.40614461735822,5.14456410852627,2.43103985406086,2.93665908494473,4.06197411644451,0.023536296431333,6.90818070158494,4.27550732847596,0.162760093137938,2.28691079216601
"4992.21",1.10441649728455,4.1605763877742,5.21279492023037,4.73275519397857,5.36617581238133,4.76836173626106,0.0255002744323859,8.18176719719219,8.73229797129053,0.0176714077466383,5.85458735080581
"4993.21",1.76427367702127,4.07270704978146,2.85376880195914,3.50267048169554,1.16210177288112,2.0714972741708,0.0622054353452885,6.9951244663293,3.8425987905352,0.571356774261639,1.62593848565391
"4994.21",1.05882849730551,3.9776617269963,7.42957849528982,9.39895378322116,4.46665099708809,1.46167964041041,0.0350247806415452,8.44672243578016,4.25450576498906,0.0205904837562707,0.276199990881248
"4995.21",1.06869026157074,3.52594065153971,6.87005024968906,3.76554673344137,3.89264017501895,0.881041431278975,0.0348180804962287,9.61217605777775,4.83673050449896,0.329670664064926,1.65480164513501
"4996.21",1.13512588315643,3.5298376751598,8.07663056624426,3.8358462939085,2.12542496462975,2.49257928594066,0.0738168321563009,9.60805103180398,4.04355733447512,3.93627531738095,2.58960693249024
"4997.21",1.8135787025094,3.76682676770724,5.12710412179123,3.10253356366981,5.11040810375802,0.747941057673661,0.0574084256724652,7.20438149743891,5.86420133316238,0.904231828126995,1.98540106431852
