"","time","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",21,41.25,40.5,22.95,64
"2",22,42.38,41,24,65
"3",23,43.43,42.5,24.475,65.525
"4",24,44.29,43,25,67.525
"5",25,44.99,44,25.475,69
"6",26,45.72,44.5,26,69.525
"7",27,46.47,45.5,27.475,70
"8",28,47.04,46,27.475,70.525
"9",29,47.7,46.5,28.475,71.525
"10",30,48.29,46.5,29.475,71.525
"11",31,48.8,47.5,29.475,72.525
"12",32,49.16,48,30.475,73
"13",33,49.63,48.5,30.475,73.525
"14",34,50.16,49,30.95,73.525
"15",35,50.66,50,31.475,74
