t,Isolate ,CountType,Count,LOG10N
22,J3-0120 ,Spore,4.20E+02,2.62324929
22,R5-0213 ,Total,3.42E+07,7.534026106
22,R5-0213 ,Spore,3.00E+01,1.477121255
22,H7-0687 ,Total,3.80E+05,5.579783597
22,H7-0687 ,Spore,0.00E+00,#NUM!
22,W8-0169 ,Total,5.10E+06,6.707570176
22,W8-0169 ,Spore,2.00E+01,1.301029996
27,J3-0120 ,Total,4.09E+07,7.611723308
27,J3-0120 ,Spore,1.19E+03,3.075546961
27,R5-0213 ,Total,3.60E+07,7.556302501
27,R5-0213 ,Spore,2.00E+01,1.301029996
27,H7-0687 ,Total,9.09E+05,5.958563883
27,H7-0687 ,Spore,0.00E+00,#NUM!
27,W8-0169 ,Total,1.30E+06,6.113943352
27,W8-0169 ,Spore,0.00E+00,#NUM!
