t,Isolate,Rep,LOG10N
96,R10-1113,2,5.37842776
96,R10-1113,3,5.277363334
120,R10-1113,1,6.763127216
120,R10-1113,2,6.573273263
120,R10-1113,3,6.17827395
144,R10-1113,1,6.820161763
144,R10-1113,2,6.965023569
144, R10-1113,3,6.725009472
168,R10-1113,1,8.103030756
168,R10-1113,2,7.743327637
168,R10-1113,3,7.518493718
192,R10-1113,1,8.193195689
192,R10-1113,2,8.110998381
192,R10-1113,3,7.944308803
216,R10-1113,1,8.570786804
216,R10-1113,2,8.478623359
216,R10-1113,3,8.392346603
240,R10-1113,1,8.597969334
240,R10-1113,2,8.734622547
240,R10-1113,3,8.591167183
0,R10-0908,1,3.571455077
0,R10-1432,1,3.290883227
0, R10-0701 ,1,3.588727637
0,R10-1344,1,2.850503927
0,R10-1181,1,3.186148624
0,R10-0084,1,3.409767421
0,R10-0990,1,3.169850607
0,R10-3286,1,2.95992554
0,R10-2381,1,3.045998374
0, R10-0908,2,3.689444007
0,R10-1432,2,3.364235148
0, R10-0701 ,2,3.541348364
0, R10-1344,2,2.927292178
0,R10-1181,2,3.303826534
0, R10-0084,2,3.280294311
0, R10-0990,2,3.021128758
0,R10-3286,2,2.964402968
0,R10-2381,2,2.96798044
0, R10-0908,3,3.521723181
0,R10-1432,3,3.419791385
0, R10-0701 ,3,3.485726126
0, R10-1344,3,2.867737572
0,R10-1181,3,3.291295315
0, R10-0056,1,3.514684747
0, R10-0056,2,3.502580517
0,R10-0056,3,3.563355479
4,R10-0908,1,3.456842239
4,R10-1432,1,3.469072545
4, R10-0701 ,1,3.525901412
4,R10-1344,1,2.867737572
4,R10-1181,1,3.228810699
4, R10-0084,1,3.577807176
4,R10-0990,1,3.0973221
4,R10-3286,1,2.960555867
4,R10-2381,1,3.054193594
4,R10-0908,2,3.588925194
4,R10-1432,2,3.478188532
4,R10-0701 ,2,3.54311996
4,R10-1344,2,3.014602956
4,R10-1181,2,3.368860632
4,R10-0084,2,3.414759523
4,R10-0990,2,3.083954975
4,R10-3286,2,3.096370058
4,R10-2381,2,2.925820004
4,R10-0908,3,3.327043963
4, R10-1432,3,3.472673755
4,R10-0701 ,3,3.515011528
4,R10-1344,3,2.903405783
4,R10-1181,3,3.21837763
4,R10-0056,1,3.40641481
4,R10-0056,2,3.315632952
4,R10-0056,3,3.46149794
8,R10-0908,1,3.705728142
8,R10-1432,1,3.544221671
8,R10-0701 ,1,3.76815098
8,R10-1344,1,3.017850092
8,R10-1181,1,3.284747677
8,R10-0084,1,3.688410169
8,R10-0990,1,3.178787018
8,R10-3286,1,3.030449801
8,R10-2381,1,3.042861597
8,R10-1432,2,3.583389679
8,R10-0701 ,2,3.729701776
8,R10-1344,2,3.132053121
8, R10-1181,2,3.432713755
8,R10-0084,2,3.569513896
8, R10-0990,2,3.139541704
8,R10-3286,2,3.054193594
8,R10-2381,2,3.147269531
8, R10-0908,3,3.523935973
8,R10-1432,3,3.572083637
8,R10-0701 ,3,3.707750273
8,R10-1344,3,3.12689706
8,R10-1181,3,3.325232186
8,R10-0056,1,3.794638247
8, R10-0056,2,3.726762917
8,R10-0056,3,3.741904269
12, R10-0908,1,3.538590368
12,R10-1432,1,3.652907838
12,R10-0701 ,1,3.77286781
12,R10-1344,1,3.089006494
12,R10-1181,1,3.402009167
12,R10-0084,1,3.828361967
12,R10-0990,1,3.168365084
12,R10-3286,1,3.073360321
12,R10-2381,1,3.17936223
12,R10-0908,2,3.661544662
12,R10-1432,2,3.702429485
12, R10-0701 ,2,3.797519527
12,R10-1344,2,3.204810787
12,R10-1181,2,3.399841742
12,R10-0084,2,3.616074303
12,R10-0990,2,3.095188227
12,R10-3286,2,3.150311546
12,R10-2381,2,3.141008926
12,R10-0908,3,3.568716909
12,R10-1432,3,3.71543622
12,R10-0701 ,3,3.763535568
12,R10-1344,3,3.177593361
12,R10-1181,3,3.326636181
12,R10-0056,1,3.935865991
12,R10-0056,2,3.790673616
12,R10-0056,3,3.809901072
24,R10-0908,1,4.023275619
24,R10-1432,1,4.579703339
24, R10-0701 ,1,4.443419766
24,R10-1344,1,3.775010724
24,R10-1181,1,3.537599452
24,R10-0084,1,4.486234644
24,R10-0990,1,3.406145423
24,R10-3286,1,3.93679509
24,R10-2381,1,3.698387425
24,R10-0908,2,4.114157708
24,R10-1432,2,4.620407145
24,R10-0701 ,2,4.355915796
24,R10-1344,2,3.773262243
24, R10-1181,2,3.71039045
24,R10-0084,2,4.296844355
24, R10-0990,2,3.392346584
24,R10-3286,2,4.044266069
24,R10-2381,2,3.477491043
24, R10-0908,3,3.978169627
24, R10-1432,3,4.628027133
24, R10-0701 ,3,4.32394734
24,R10-1344,3,3.731692171
24,R10-1181,3,3.555362734
24,R10-0056,1,4.659580312
24,R10-0056,2,4.585205623
