STorAT,ClosestSTorAT,lag,mumax,LOG10N0,LOG10Nmax,model_type,T0
AT_3,3,6.563,1.053,2.143,5.79,buchanan,-3.62
AT_100,100,10.4222,0.9893,3.4399,6.5451,buchanan,-3.62
AT_15,15,1.9293,0.6404,3.5174,6.5069,buchanan,-3.62
AT_513,513,5.7252,0.7422,3.0383,6.4395,buchanan,-3.62
AT_61,61,13.387,1.543,2.776,6.357,buchanan,-3.62
AT_45,45,18.2244,0.9647,4.3403,7.7041,buchanan,-3.62
AT_179,179,4.9731,0.8079,2.9685,7.6904,buchanan,-3.62
AT_340,340,3.527,0.7807,3.43,7.398,buchanan,-3.62
AT_17,17,2.964,1.342,3.06,7.364,buchanan,-3.62
