RealAT,ClosestAT,STorAT
179,179,AT
179,179,AT
179,179,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
100,100,AT
100,100,AT
100,100,AT
45,45,AT
45,45,AT
45,45,AT
151,3,AT
151,3,AT
151,3,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
75,3,AT
97,3,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
15,15,AT
15,15,AT
15,15,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
340,340,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
17,17,AT
61,61,AT
61,61,AT
61,61,AT
