"","lot_id","initial_mean","initial_sd"
"1",1,-0.663456136488096,1.0881520432736
"2",2,-0.779443338476285,0.89340529467159
"3",3,-0.684112370907703,0.679936566343049
"4",4,-0.542659286903549,0.781515573455578
"5",5,-0.574945756678901,0.827912177730103
"6",6,-0.869725193017456,0.837111914671868
"7",7,-0.534722765920838,1.03320395625422
"8",8,-0.801624876735912,0.840526115711401
"9",9,-0.676125029135195,0.87084775471624
"10",10,-0.683708081893586,0.840570706190803
"11",11,-0.688386434329207,0.74779035487896
"12",12,-0.429040216017697,0.800287434191296
"13",13,-0.651130928361141,0.678198056733426
"14",14,-0.654645457240274,0.864438377334854
"15",15,-0.600067417368011,0.833695139743452
"16",16,-0.425665059157887,0.835116542301526
"17",17,-0.444405466002554,0.656897998991126
"18",18,-0.676223908707663,0.916653196694031
"19",19,-0.614226545090713,0.764213555306875
"20",20,-0.717245514095298,0.911917941116653
"21",21,-0.626041629238365,0.683072385238203
"22",22,-0.413764092156628,0.752085619421667
"23",23,-0.724992643686546,0.892036763990083
"24",24,-0.621687673478532,0.879858111020693
"25",25,-0.671378040572227,0.747970466394055
"26",26,-0.766000877523929,0.744771245672679
"27",27,-0.517579485063069,0.949548320327884
"28",28,-0.427005588083465,0.938572327875965
"29",29,-0.831154052493537,0.849189566896926
"30",30,-0.73058086180487,0.907736540665453
"31",31,-0.624280372456121,0.921003597387903
"32",32,-0.462085949585782,0.778930036261004
"33",33,-0.480594942749123,0.742080383464939
"34",34,-0.666644554379371,0.799460780278922
"35",35,-0.438488493686541,0.902485522118665
"36",36,-0.550228570546959,0.942226522764564
"37",37,-0.485973213079464,0.838865554552909
"38",38,-0.702317365793632,0.793153218863368
"39",39,-0.650378834022056,0.845009733753109
"40",40,-0.73004683393098,0.873601834744689
"41",41,-0.619038901497029,0.789422901926382
"42",42,-0.726834322996285,0.90350174927595
"43",43,-0.617161491966788,0.808219807471725
"44",44,-0.788710479987464,0.908231643104687
"45",45,-0.728916924107308,0.804945805780724
"46",46,-0.620667244993537,0.862138051157851
"47",47,-0.526398401080004,0.807961545187945
"48",48,-0.852677090789638,0.810874967091888
"49",49,-0.753304336204637,0.795673711012134
"50",50,-0.719104297705482,0.919553023285347
"51",51,-0.702027746109129,0.961963277321278
"52",52,-0.459972825101423,0.807983503281915
"53",53,-0.778979100373045,0.858945218138914
"54",54,-0.624634916770305,0.811833340606287
"55",55,-0.501414829618047,0.874275032494059
"56",56,-0.60382630308649,0.96092222477043
"57",57,-0.703264600926246,0.815313602856453
"58",58,-0.719962887763425,0.910812930745225
"59",59,-0.76891105448058,0.881245649494088
"60",60,-0.367503289308592,0.91981429099162
"61",61,-0.71905959847597,0.967587714088545
"62",62,-0.754430588489306,0.892868571857184
"63",63,-0.511776057862545,0.87850798208933
"64",64,-0.831710889073277,0.833242347555819
"65",65,-0.666546897537664,0.893161536973335
"66",66,-0.697194314433792,0.83402855044613
"67",67,-0.728849535173142,0.778682254361913
"68",68,-0.634986435439773,0.968212098372646
"69",69,-0.730944522792778,0.848139928310377
"70",70,-0.740756131044702,0.794143357646119
"71",71,-0.796026942145466,0.797100122017722
"72",72,-0.705184033960368,0.710848541189032
"73",73,-0.717538146348671,0.982839050311715
"74",74,-0.507961047403772,0.795651260235324
"75",75,-0.674895051284688,0.665059613833751
"76",76,-0.912171898827791,0.838764193319102
"77",77,-0.75754649016121,0.970540690178657
"78",78,-0.660654625701387,0.797332118476069
"79",79,-0.784592727962351,0.867756698513739
"80",80,-0.839684861369025,0.865311761782801
"81",81,-0.627117497261059,0.772413411263263
"82",82,-0.492833944833713,0.918201348350552
"83",83,-0.861596614601001,0.890181710363063
"84",84,-0.580416547960488,0.960437519185637
"85",85,-0.926476336631234,0.884897039526283
"86",86,-0.634422283345257,0.810024575893771
"87",87,-0.815162313122969,0.944448619495447
"88",88,-0.72596643817318,0.936911596245146
"89",89,-0.841216948519698,0.700026041067312
"90",90,-0.588014577482118,0.774585033551788
"91",91,-0.765430931600557,0.770840675633782
"92",92,-0.639877304197569,0.980699384054375
"93",93,-0.630041786281575,0.862754713628504
"94",94,-0.819814704563748,0.905895222760127
"95",95,-0.803878549651227,0.787691492335333
"96",96,-0.645918045837702,0.943936935504768
"97",97,-0.619721243431981,0.933832215207453
"98",98,-0.672189896333696,0.899833725466039
"99",99,-0.658637029202083,1.04406021690916
"100",100,-0.515137119544676,0.970309855928912
