,mean_percent,median_percent,perc_25,perc_75
1,0,0,0,0
2,0.01,0,0,0
3,0.65,0,0,1
4,4.75,5,3,6
5,11.41,11,10,13
6,17.33,17,15,20.25
7,22.15,22,19,25
8,26.51,27,23,30
9,30.42,30,27,34
10,33.27,33,30,37
11,36.31,36,33,40
12,39.29,39,36,43
13,42.16,42,38.75,46
14,45.52,45,41.75,50.25
15,48.57,48,44,54
16,51.94,51,48,57
17,54.97,54.5,50.75,59.25
18,58.06,58,53,62
19,60.9,61,55.75,65
20,63.71,64,58.75,68
21,66.18,67,60,71
