,time,geormetric mean (log),median (log),arithmetic mean,arithmetic mean (log)
1,0,0.60,0.62,186.24,2.27
2,1,0.70,0.75,201.74,2.30
3,2,0.88,1.00,4045.32,3.61
4,3,1.15,1.30,120829.39,5.08
5,4,1.57,1.66,1309549.87,6.12
6,5,1.96,1.87,3986969.65,6.60
7,6,2.28,2.07,6846531.07,6.84
8,7,2.55,2.26,9456313.85,6.98
9,8,2.73,2.33,11684886.53,7.07
10,9,2.91,2.45,13638118.40,7.13
11,10,3.07,2.50,15447869.45,7.19
12,11,3.22,2.64,17145860.81,7.23
13,12,3.39,2.78,18905623.61,7.28
14,13,3.52,2.84,21022556.95,7.32
15,14,3.66,2.91,23368180.31,7.37
16,15,3.80,3.05,25958847.91,7.41
17,16,3.94,3.15,28899062.04,7.46
18,17,4.09,3.29,31955663.47,7.50
19,18,4.18,3.40,34922525.86,7.54
20,19,4.30,3.59,37835781.15,7.58
21,20,4.40,3.82,40628784.63,7.61
22,21,4.50,4.05,43356520.76,7.64
23,22,4.61,4.31,45977890.79,7.66
24,23,4.67,4.58,48419715.44,7.69
25,24,4.75,4.85,50687466.43,7.70
26,25,4.81,5.12,52806995.68,7.72
27,26,4.89,5.38,54797874.54,7.74
28,27,4.97,5.60,56642170.88,7.75
29,28,5.00,5.73,58308174.38,7.77
30,29,5.05,5.78,59809685.41,7.78
31,30,5.10,5.83,61174906.53,7.79
32,31,5.15,5.85,62410238.82,7.80
33,32,5.21,5.88,63513047.80,7.80
34,33,5.22,5.95,64491024.23,7.81
35,34,5.26,6.12,65361268.73,7.82
36,35,5.29,6.33,66146403.22,7.82
