"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.01,0,0,0
"3",0.15,0,0,1
"4",1.29,1,0,4
"5",2.67,2,0,6
"6",4.18,4,1,8.52499999999999
"7",5.61,5,1,11
"8",7.04,7,3,13.525
"9",8.3,8,4,15
"10",9.68,9,4.475,17
"11",11.11,11,5.475,19.525
"12",12.78,12,6.475,21
"13",14.78,14.5,8.475,23.525
"14",16.77,17,10,26.05
"15",19.04,19,11,28.525
"16",21.45,22,12.475,32
"17",24.02,24,14.475,34.525
"18",26.2,26,17,35.525
"19",28.28,28,19,37.525
"20",30.33,30,20.475,39
"21",32.14,32.5,23,40.525
"22",33.9,34,25,43.525
"23",35.31,35,26.475,45.05
"24",36.35,36.5,28,47
"25",37.51,37.5,29,48
"26",38.56,39,29.475,49
"27",39.54,40,30.475,49
"28",40.24,40,30.95,51
"29",41.09,41.5,32.475,51
"30",41.67,42,32.95,51
"31",42.41,42,34.475,52
"32",43.22,43,36,52.525
"33",43.91,44,36,53
"34",44.53,44.5,36,53.525
"35",45,45,37,54
