"","mean_percent","median_percent","perc_2.5","perc_97.5"
"1",0,0,0,0
"2",0.08,0,0,1
"3",0.65,0,0,3
"4",6.78,6,1.475,13
"5",11.87,11,5,21
"6",14.72,14,6,24.525
"7",18.22,17,9,30.525
"8",21.94,21,10.475,35.05
"9",26.59,26.5,13,39
"10",31.16,31,15.95,47.05
"11",35.26,35.5,19,53.575
"12",39.76,39,22,58
"13",43.64,44,24.475,63.05
"14",46.22,46,26,66.05
"15",48.07,47,26.475,67.05
"16",49.25,48.5,28,68.525
"17",50.23,50,29,70
"18",50.93,50,30,70
"19",51.73,51,30,72
"20",52.58,52,31,72.525
"21",53.43,52.5,31.95,73.525
"22",53.95,53,33,73.525
"23",54.79,54.5,34.475,74.525
"24",55.43,55,35.95,74.525
"25",55.98,55.5,35.95,75
"26",56.62,56.5,36.95,75
"27",56.95,57,36.95,75
"28",57.34,58,37.475,75
"29",57.73,58.5,37.475,75
"30",58.13,58.5,38.475,76.05
"31",58.46,58.5,38.475,76.05
"32",58.73,59,38.95,77.05
"33",59.05,59.5,38.95,77.05
"34",59.32,59.5,39.95,77.05
"35",59.7,59.5,40.475,77.05
