,est,lower,upper,test.statistic,df,p.value,var,abs_PRCC_value
11,0.553858833,0.537536357,0.570181309,66.51410058,9998,0,N0,0.553858833
9,0.309053042,0.290408785,0.327697299,32.49291032,9998,2.91671862358166e-220,T_H,0.309053042
4,0.148492675,0.129106041,0.16787931,15.01423778,9998,2.09476392726671e-50,T_T,0.148492675
10,0.100319778,0.080814702,0.119824854,10.08183493,9998,8.63516973270107e-24,P_ppc,0.100319778
6,0.050618422,0.031039579,0.070197264,5.067832588,9998,4.09568374148683e-07,T_S,0.050618422
3,0.043396668,0.023811163,0.062982172,4.343324528,9998,1.41726457536851e-05,t_T,0.043396668
5,-0.041492983,-0.061080073,-0.021905893,-4.152459463,9998,3.31652677760345e-05,t_S,0.041492983
2,0.020661855,0.001062067,0.040261644,2.066420036,9998,0.038814527,T_F,0.020661855
8,0.006144104,-0.013459499,0.025747708,0.614360579,9998,0.538991059,T_T2,0.006144104
7,0.005592737,-0.014010929,0.025196404,0.559226562,9998,0.576019634,t_T2,0.005592737
1,-0.000373041,-0.019977013,0.019230931,-0.037300348,9998,0.970246273,t_F,0.000373041
