"","lot_id","p0","p10","p20","p30","p40","p50","p60","p70","p80","p90","p100"
"1",1,-1.33073957048799,-0.490785605970797,0.527051529171969,1.08803561962776,1.56588099735667,2.02407176727396,3.17173979501272,5.65447783221503,6.70329037755728,7.77248217852916,8.24913285696443
"2",2,-1.59692640789746,-0.224439079472445,0.191627161496045,0.550868602955874,1.2525270040537,2.07532053289268,4.59516884033107,5.88185124233406,7.71363000189183,8.05459429036002,8.40794963545851
"3",3,-2.67146713521133,-0.0156272285996866,0.700038316700213,1.32631504548417,2.10252368264806,2.90664084522593,3.63590227276919,4.53497514460365,5.9214640995839,7.66290849456265,8.36321120963885
"4",4,-2.96626688127554,-0.38803263796116,0.192181738014884,0.685770066016099,1.01961429810506,1.68034517734195,2.41325962867616,3.62932122528021,5.88764212221448,7.33617130550796,8.55014579971532
"5",5,-1.94949270116597,-0.213162477525753,0.338660510631314,0.790855400885819,1.65330946121931,2.1552798527527,2.86895175358355,3.99287448150643,5.59161098897569,7.41678479404709,8.27763655217241
"6",6,-1.51397722941313,0.251978929410353,0.767670584331675,1.26348796275574,1.7848578751142,2.42064270757693,3.40248813728368,4.57109635029659,6.30313429986747,7.77755004012755,8.35268788524992
"7",7,-1.20470052846926,-0.227473647932703,0.107879318582896,0.450921895027312,0.969960012436229,1.62881945464102,2.71078742259266,5.24066403490686,7.11782604453712,8.01436092370228,8.71958966284563
"8",8,-1.65934126860554,-0.039844160323748,0.942190587283832,1.56777166069392,2.02766358892024,2.99227028699971,3.93242901539645,5.72222332879147,7.20504189524025,8.03352161445994,8.56176119258214
"9",9,-1.20323332158591,-0.0275975346719276,0.609111306997428,1.13652703264794,1.62334387408397,2.49238467109263,3.60997845095793,4.58248537444606,5.85775225394477,7.68945300941635,8.15916583829294
"10",10,-1.75493271455986,-0.382945424166412,0.191167223067722,0.575456543258028,0.984590584281872,1.5621980892393,2.41193729358401,4.5083006490914,6.88851089676591,7.98695465823998,8.63573766963077
"11",11,-2.00761832831606,-0.275170722306499,0.426053377250008,1.05618595165081,1.81164825272796,2.21590894113916,2.69866906620885,4.57210549086504,6.02959282842409,7.47454087698059,8.62012362291629
